,SPI Bound,Category,normal 1 rolling Residual,gamma 1 rolling Residual,pearson 1 rolling Residual,normal 2 rolling Residual,gamma 2 rolling Residual,pearson 2 rolling Residual,normal 4 rolling Residual,gamma 4 rolling Residual,pearson 4 rolling Residual
0,-2.0,Extreme Drought,-6.635065270697465,-6.468357774559294,-6.494521076773896,-9.532512342704809,-9.43608457789918,-9.630473177059796,-12.88225058763448,-12.750392141947799,-13.10563169378655
1,-1.5,Severe Drought,-4.976298953023214,-4.907088605750296,-4.916182584675786,-7.149384257028548,-7.118930382747408,-7.189683356659954,-9.661687940725702,-9.668679460567745,-9.750968418405956
2,-1.0,Mild Drought,-3.317532635348963,-3.3182534963989596,-3.3153486128555696,-4.766256171352288,-4.781714321677555,-4.765532455188,-6.441125293816926,-6.5398171329044885,-6.435649031911922
3,1.0,Normal,3.317532635348034,3.316406840779038,3.3153520887262156,4.766256171352743,4.769073033930226,4.765531820937866,6.441125293818169,6.452552002304657,6.435644510662718
4,1.5,Moderately Wet,4.976298953022282,5.045795691306353,5.030459507997722,7.149384257029,7.207572924187247,7.107127598135343,9.661687940726942,9.821202484015345,9.556850385089865
5,2.0,Severely Wet,6.635065270696534,6.803823139355984,6.768771702425711,9.53251234270526,9.666521418323299,9.4323419094567,12.882250587635719,13.238596623412292,12.63976661179972
