,State,County,lat,lon,# Droughts VWC (2 CAT/2wk)(Tuesdays),# Droughts VWC (2 CAT/4wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/2wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/4wk)(Tuesdays),Highest Month VWC (2 CAT/2wk)(Tuesdays),Highest Month VWC (2 CAT/4wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/2wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/4wk)(Tuesdays)
59,MA,Hampshire,42.339459,-72.663694,27,26,45,39,['April'],['September'],['May'],['June']
60,MA,Middlesex,42.479477,-71.396507,24,22,45,42,['April'],['September'],"['May', 'April']",['April']
61,MA,Nantucket,41.26842,-70.036824,5,3,6,4,['April'],"['May', 'April', 'July']",['April'],['September']
62,MA,Norfolk,42.169703,-71.179875,24,20,45,32,['April'],['September'],['April'],['April']
63,MA,Plymouth,41.987196,-70.741942,25,17,46,30,['April'],['September'],['May'],['September']
64,MA,Suffolk,42.326256,-71.084657,25,22,57,44,['April'],['March'],['April'],['September']
65,MA,Worcester,42.311693,-71.940282,26,22,50,48,['April'],['March'],['April'],['June']
66,NH,Belknap,43.519109,-71.425366,24,21,50,43,['April'],['September'],['May'],['June']
67,NH,Carroll,43.867567,-71.201665,23,19,51,37,['April'],['September'],['April'],['April']
68,NH,Cheshire,42.925455,-72.248217,26,22,62,43,['April'],['March'],"['May', 'July']","['May', 'July']"
69,NH,Coos,44.652419,-71.289383,30,24,51,48,['April'],['April'],['May'],"['April', 'September']"
70,NH,Grafton,43.926488,-71.842264,31,30,45,45,"['May', 'April']",['April'],['May'],['April']
71,NH,Hillsborough,42.911643,-71.723101,21,18,44,42,['April'],"['September', 'March']",['April'],['April']
72,NH,Merrimack,43.299485,-71.68013,21,18,54,41,['April'],['March'],['April'],"['June', 'April']"
73,NH,Rockingham,42.98936,-71.099437,20,16,37,37,['April'],['April'],['July'],['June']
74,NH,Strafford,43.293177,-71.035927,16,15,35,29,['April'],['March'],['May'],['September']
75,NH,Sullivan,43.361188,-72.222084,22,20,41,32,['April'],['September'],"['August', 'April']",['September']
76,NJ,Atlantic,39.469354,-74.633758,14,8,35,32,['March'],['March'],['April'],['September']
77,NJ,Bergen,40.95909,-74.074522,24,14,52,41,['April'],['March'],['April'],['June']
78,NJ,Burlington,39.875786,-74.663006,16,10,47,38,['April'],['March'],"['April', 'March']",['April']
79,NJ,Camden,39.802352,-74.961251,15,10,44,33,['April'],['March'],['April'],"['September', 'April']"
80,NJ,Cape May,39.086143,-74.847716,6,1,27,19,['March'],['March'],['April'],['April']
81,NJ,Cumberland,39.328387,-75.121644,13,7,25,23,['March'],['March'],['April'],['September']
82,NJ,Essex,40.787217,-74.246136,26,16,41,33,['April'],"['March', 'April']",['May'],['April']
83,NJ,Gloucester,39.721019,-75.143708,14,9,39,36,['April'],['March'],['April'],['September']
84,NJ,Hudson,40.731384,-74.078627,20,13,47,32,['April'],['March'],['May'],['April']
85,NJ,Hunterdon,40.565283,-74.91197,20,18,21,32,['April'],['April'],['April'],['July']
86,NJ,Mercer,40.282503,-74.703724,17,11,40,27,['April'],['March'],['May'],['September']
87,NJ,Middlesex,40.439593,-74.407585,21,17,37,29,['April'],['March'],['April'],['April']
88,NJ,Monmouth,40.287056,-74.152446,18,11,48,35,['April'],['March'],['May'],['April']
89,NJ,Morris,40.858581,-74.547427,24,13,40,33,['April'],['March'],['May'],['July']
90,NJ,Ocean,39.86585,-74.263027,14,8,44,32,['March'],['March'],['April'],['September']
91,NJ,Passaic,41.033763,-74.300308,25,16,34,33,['April'],"['March', 'April']",['April'],['July']
92,NJ,Salem,39.573828,-75.357356,17,17,27,30,['April'],['March'],['April'],['May']
