,State,County,lat,lon,# Droughts Precip (2 CAT/2wk)(4 wk intervals),# Droughts Precip (2 CAT/4wk)(4 wk intervals),# Droughts Precip (-2 Z-SCORE/2wk)(4 wk intervals),# Droughts Precip (-2 Z-SCORE/4wk)(4 wk intervals),Highest Month Precip (2 CAT/2wk)(4 wk intervals),Highest Month Precip (2 CAT/4wk)(4 wk intervals),Highest Month Precip (-2 Z-SCORE/2wk)(4 wk intervals),Highest Month Precip (-2 Z-SCORE/4wk)(4 wk intervals)
53,MA,Berkshire,42.375314,-73.213948,25,25,14,20,['May'],['May'],['May'],['June']
54,MA,Bristol,41.748576,-71.087062,21,21,11,27,['July'],['July'],"['August', 'June', 'March', 'May']",['April']
55,MA,Dukes,41.380939,-70.701536,22,22,13,28,['July'],['July'],['June'],['June']
56,MA,Essex,42.642711,-70.865107,20,20,12,18,"['May', 'August']","['May', 'August']",['March'],['September']
57,MA,Franklin,42.583791,-72.591655,18,18,12,21,"['June', 'July', 'September']","['June', 'July', 'September']","['March', 'May', 'August', 'September', 'April']",['June']
58,MA,Hampden,42.136198,-72.635648,23,23,16,27,['August'],['August'],['August'],['June']
59,MA,Hampshire,42.339459,-72.663694,23,23,10,22,['August'],['August'],"['July', 'March', 'August']",['June']
60,MA,Middlesex,42.479477,-71.396507,21,21,7,17,"['August', 'September']","['August', 'September']","['March', 'September']",['August']
61,MA,Nantucket,41.26842,-70.036824,6,6,5,3,"['August', 'September']","['August', 'September']",['September'],"['May', 'July', 'August']"
62,MA,Norfolk,42.169703,-71.179875,24,24,13,24,['September'],['September'],"['August', 'June', 'March', 'May', 'September']",['May']
63,MA,Plymouth,41.987196,-70.741942,19,19,9,24,"['July', 'May', 'June', 'March']","['July', 'May', 'June', 'March']","['June', 'March']",['July']
64,MA,Suffolk,42.326256,-71.084657,21,21,12,24,['June'],['June'],"['June', 'March', 'August', 'May']",['May']
65,MA,Worcester,42.311693,-71.940282,22,22,11,23,"['September', 'May']","['September', 'May']","['July', 'March', 'June', 'August']","['June', 'May', 'April']"
66,NH,Belknap,43.519109,-71.425366,24,24,11,24,['September'],['September'],['September'],['September']
67,NH,Carroll,43.867567,-71.201665,27,27,11,23,['June'],['June'],['March'],['June']
68,NH,Cheshire,42.925455,-72.248217,25,25,10,16,"['June', 'September']","['June', 'September']",['March'],['June']
69,NH,Coos,44.652419,-71.289383,34,34,18,31,['September'],['September'],['March'],['September']
70,NH,Grafton,43.926488,-71.842264,26,26,5,22,['September'],['September'],"['March', 'May']",['September']
71,NH,Hillsborough,42.911643,-71.723101,27,27,14,23,"['March', 'September']","['March', 'September']","['August', 'March']",['June']
72,NH,Merrimack,43.299485,-71.68013,29,29,12,23,['September'],['September'],['September'],['June']
73,NH,Rockingham,42.98936,-71.099437,21,21,12,18,"['June', 'May', 'July']","['June', 'May', 'July']","['August', 'March']",['September']
74,NH,Strafford,43.293177,-71.035927,23,23,11,20,['September'],['September'],['March'],['June']
75,NH,Sullivan,43.361188,-72.222084,22,22,10,24,"['March', 'September']","['March', 'September']",['March'],['September']
76,NJ,Atlantic,39.469354,-74.633758,26,26,13,26,"['August', 'June']","['August', 'June']",['May'],['May']
77,NJ,Bergen,40.95909,-74.074522,23,23,16,24,['May'],['May'],['July'],['May']
78,NJ,Burlington,39.875786,-74.663006,24,24,11,25,['August'],['August'],"['June', 'August']",['May']
79,NJ,Camden,39.802352,-74.961251,24,24,9,22,['June'],['June'],"['March', 'May']",['May']
80,NJ,Cape May,39.086143,-74.847716,27,27,13,21,['June'],['June'],['May'],['May']
81,NJ,Cumberland,39.328387,-75.121644,26,26,11,18,"['September', 'May']","['September', 'May']",['May'],"['June', 'April', 'May']"
82,NJ,Essex,40.787217,-74.246136,28,28,13,27,"['July', 'August', 'June']","['July', 'August', 'June']",['July'],['March']
83,NJ,Gloucester,39.721019,-75.143708,21,21,10,26,"['August', 'June', 'September']","['August', 'June', 'September']",['May'],['May']
84,NJ,Hudson,40.731384,-74.078627,25,25,13,18,['August'],['August'],"['June', 'August', 'April', 'July', 'March', 'May']","['July', 'May']"
85,NJ,Hunterdon,40.565283,-74.91197,22,22,8,23,"['August', 'June']","['August', 'June']","['August', 'May']","['July', 'May', 'June']"
86,NJ,Mercer,40.282503,-74.703724,20,20,7,24,['August'],['August'],['August'],"['June', 'August']"
87,NJ,Middlesex,40.439593,-74.407585,24,24,9,23,"['August', 'March', 'June']","['August', 'March', 'June']",['July'],['June']
88,NJ,Monmouth,40.287056,-74.152446,21,21,10,21,['August'],['August'],"['July', 'June', 'August']",['May']
89,NJ,Morris,40.858581,-74.547427,22,22,10,25,['August'],['August'],['August'],"['June', 'August']"
90,NJ,Ocean,39.86585,-74.263027,25,25,13,27,['June'],['June'],['August'],['May']
91,NJ,Passaic,41.033763,-74.300308,21,21,12,22,"['August', 'May']","['August', 'May']",['May'],"['July', 'May']"
92,NJ,Salem,39.573828,-75.357356,21,21,7,17,"['September', 'June']","['September', 'June']",['May'],['May']
93,NJ,Somerset,40.565522,-74.61993,20,20,9,25,['April'],['April'],"['July', 'March', 'August']",['July']
94,NJ,Sussex,41.137424,-74.691855,17,17,11,27,"['July', 'March', 'May']","['July', 'March', 'May']",['July'],"['June', 'July']"
95,NJ,Union,40.659871,-74.308696,21,21,11,25,"['July', 'June', 'August', 'March', 'May']","['July', 'June', 'August', 'March', 'May']","['June', 'April', 'August', 'March']","['July', 'June']"
96,NJ,Warren,40.853524,-75.009542,18,18,10,24,"['August', 'June', 'September']","['August', 'June', 'September']","['March', 'May', 'September']",['April']
97,NY,Albany,42.588271,-73.974014,24,24,8,23,"['August', 'May']","['August', 'May']","['August', 'March', 'May', 'September']",['September']
98,NY,Allegany,42.247894,-78.026176,29,29,15,21,['March'],['March'],['March'],['September']
99,NY,Bronx ,40.848711,-73.852939,16,16,5,14,['May'],['May'],"['March', 'August', 'May', 'April', 'September']",['March']
100,NY,Broome,42.161977,-75.830291,26,26,11,21,['September'],['September'],"['June', 'May', 'September', 'April']","['June', 'August', 'September']"
101,NY,Cattaraugus,42.244853,-78.681006,26,26,12,21,"['March', 'May']","['March', 'May']",['August'],"['August', 'July']"
102,NY,Cayuga,43.008546,-76.574587,26,26,13,21,['September'],['September'],"['May', 'August']",['September']
103,NY,Chautauqua,42.304216,-79.407595,32,32,18,22,"['September', 'May']","['September', 'May']",['August'],"['July', 'May']"
104,NY,Chemung,42.155281,-76.747179,28,28,17,20,"['May', 'March', 'September']","['May', 'March', 'September']","['April', 'March', 'September']","['April', 'September']"
105,NY,Chenango,42.489732,-75.604905,26,26,11,26,['September'],['September'],['May'],"['June', 'September']"
106,NY,Clinton,44.75271,-73.705648,23,23,10,22,['May'],['May'],['May'],"['April', 'September', 'May']"
107,NY,Columbia,42.247729,-73.626805,28,28,11,25,"['May', 'June']","['May', 'June']",['May'],['July']
108,NY,Cortland,42.593824,-76.076265,23,23,7,19,"['June', 'May', 'September']","['June', 'May', 'September']",['May'],['September']
109,NY,Delaware,42.193987,-74.966728,27,27,13,27,"['May', 'September']","['May', 'September']","['May', 'September']",['September']
110,NY,Dutchess,41.755009,-73.739951,26,26,14,23,['June'],['June'],['July'],['May']
111,NY,Erie,42.752759,-78.778192,28,28,18,24,"['May', 'March', 'September']","['May', 'March', 'September']",['August'],"['May', 'September']"
112,NY,Essex,44.108971,-73.777573,26,26,16,24,['May'],['May'],"['March', 'May']",['May']
113,NY,Franklin,44.594374,-74.31067,24,24,10,25,"['August', 'May']","['August', 'May']",['May'],['April']
114,NY,Fulton,43.115609,-74.423678,33,33,11,28,['September'],['September'],['May'],['July']
115,NY,Genesee,43.00091,-78.192778,29,29,11,22,['August'],['August'],['August'],"['June', 'August', 'September']"
116,NY,Greene,42.286951,-74.149495,16,16,12,22,"['September', 'May']","['September', 'May']","['March', 'May']",['April']
117,NY,Hamilton,43.657879,-74.502456,32,32,12,32,['May'],['May'],['September'],['May']
118,NY,Herkimer,43.461635,-74.894694,31,31,15,29,['September'],['September'],"['March', 'May']",['May']
119,NY,Jefferson,43.995371,-76.053522,25,25,10,22,['May'],['May'],"['August', 'September', 'May']",['June']
120,NY,Kings ,40.635133,-73.950777,23,23,8,17,['May'],['May'],"['March', 'August']",['August']
121,NY,Lewis,43.786397,-75.442617,26,26,14,25,['August'],['August'],['May'],['September']
122,NY,Livingston,42.727485,-77.76978,29,29,8,26,"['September', 'March', 'May']","['September', 'March', 'May']","['August', 'May', 'March']","['August', 'May', 'September']"
123,NY,Madison,42.910026,-75.663575,22,22,10,19,['September'],['September'],['September'],"['September', 'April']"
124,NY,Monroe,43.081408,-77.729899,28,28,15,24,['September'],['September'],['June'],['September']
125,NY,Montgomery,42.900891,-74.435358,26,26,12,25,['September'],['September'],"['May', 'September']",['July']
126,NY,Nassau,40.729687,-73.589384,24,24,14,24,['August'],['August'],['August'],['June']
127,NY,New York ,40.776557,-73.970174,28,28,13,22,"['May', 'March', 'June']","['May', 'March', 'June']",['July'],['June']
128,NY,Niagara,43.194518,-78.786643,28,28,8,17,"['August', 'May']","['August', 'May']",['August'],['May']
129,NY,Oneida,43.242727,-75.434282,29,29,15,26,"['August', 'September']","['August', 'September']",['September'],['August']
130,NY,Onondaga,43.00653,-76.196117,25,25,13,27,['September'],['September'],['September'],['July']
131,NY,Ontario,42.856695,-77.303277,33,33,17,29,"['September', 'March']","['September', 'March']","['August', 'September']",['September']
132,NY,Orange,41.40241,-74.306252,23,23,12,20,"['July', 'May', 'September']","['July', 'May', 'September']",['May'],['May']
133,NY,Orleans,43.255515,-78.23546,23,23,9,22,['September'],['September'],['May'],['September']
134,NY,Oswego,43.461443,-76.209258,23,23,11,28,"['September', 'May']","['September', 'May']",['May'],['May']
135,NY,Otsego,42.629776,-75.028841,22,22,12,29,['September'],['September'],['August'],['September']
136,NY,Putnam,41.427904,-73.743882,21,21,9,23,"['June', 'September']","['June', 'September']",['August'],"['August', 'July', 'September']"
137,NY,Queens ,40.658557,-73.837929,22,22,10,17,"['August', 'March', 'September']","['August', 'March', 'September']",['March'],"['August', 'May', 'March', 'April']"
138,NY,Rensselaer,42.710421,-73.513845,26,26,10,21,['May'],['May'],['May'],['June']
139,NY,Richmond ,40.563855,-74.137063,18,18,9,23,['March'],['March'],['August'],['May']
140,NY,Rockland,41.154785,-74.024772,21,21,11,23,['June'],['June'],"['May', 'September']",['May']
141,NY,St. Lawrence,44.488113,-75.074311,27,27,14,25,['March'],['March'],['March'],"['July', 'May']"
142,NY,Saratoga,43.106135,-73.855387,28,28,13,27,['September'],['September'],['September'],['July']
143,NY,Schenectady,42.817542,-74.043583,20,20,13,24,"['May', 'September']","['May', 'September']","['May', 'September']",['July']
144,NY,Schoharie,42.591294,-74.438172,22,22,10,26,['September'],['September'],['September'],['August']
145,NY,Schuyler,42.419776,-76.938604,23,23,14,21,['March'],['March'],['March'],['September']
146,NY,Seneca,42.782294,-76.827088,30,30,10,22,['September'],['September'],['September'],['September']
147,NY,Steuben,42.266725,-77.385525,33,33,14,22,['March'],['March'],"['August', 'May', 'March']",['September']
