date,pet,pet 1 rolling,pet 1 rolling Residuals,pet 2 rolling,pet 2 rolling Residuals,pet 4 rolling,pet 4 rolling Residuals
2014-03-04,-1.9162547919899224,-1.9162547919899224,0.65287674482679,-1.9162547919899082,1.7567058006476288,-1.9162547919899295,-0.38088265501429097
2014-03-11,-4.45391659270972,-4.45391659270972,-0.6567907073447712,-6.370171384699628,-0.2277244394237492,-6.370171384699649,0.30564171420409636
2014-03-18,-4.358502253517508,-4.358502253517508,0.6666179803956771,-8.812418846227214,-0.2004855483129937,-10.728673638217158,1.0875804227311097
2014-03-25,-5.788818026706576,-5.788818026706576,0.46429655575484574,-10.14732028022407,0.9340993703284912,-16.51749166492373,0.43920335795264265
2014-04-01,-4.906763518042862,-4.906763518042862,2.574345412966796,-10.695581544749423,2.85532445844148,-19.508000390976672,2.589135593827809
2014-04-08,-10.579976068437098,-10.579976068437098,-1.870872788879204,-15.486739586479946,0.533652769349299,-25.63405986670405,1.6035170801449539
2014-04-15,-13.258375189825891,-13.258375189825891,-3.3212775617197607,-23.838351258262975,-5.348472549795389,-34.53393280301243,-2.1559148942353232
2014-04-22,-12.054425183311103,-12.054425183311103,-0.8893332066567368,-25.31280037313698,-4.353435312031053,-40.799539959616965,-3.2810810887953323
2014-04-29,-10.660438014566898,-10.660438014566898,1.732648310635705,-22.71486319787799,0.71398821586628,-46.55321445614099,-3.894314623391253
2014-05-06,-11.725247240066528,-11.725247240066528,1.8958334336843112,-22.38568525463341,3.5126525117491987,-47.69848562777043,0.10085516702383046
2014-05-13,-19.562406457960606,-19.562406457960606,-4.71333143566153,-31.28765369802712,-2.919829579035273,-54.002516895905146,-1.0627351391827773
2014-05-20,-14.60038439631462,-14.60038439631462,1.4766849745326915,-34.162790854275215,-3.3254803826450257,-56.54847610890866,1.5317466097418162
2014-05-27,-14.563871420174836,-14.563871420174836,2.741192299220712,-29.164255816489444,4.142541007779087,-60.4519095145166,2.7687541661783968
2014-06-03,-19.285948079824447,-19.285948079824447,-0.7528900118806625,-33.84981949999927,1.926463676907602,-68.01261035427451,0.34849428834859
2014-06-10,-21.07550450712442,-21.07550450712442,3.6281826543519884,-40.36145258694886,7.775733126894934,-69.52570840343833,17.5175252882691
2014-06-17,-17.969484737887978,-17.969484737887978,6.469067904964323,-39.04498924501238,8.742798442079241,-72.89480874501169,14.747383397523663
2014-06-24,-27.678994250297542,-27.678994250297542,-3.50557612606935,-45.6484789881855,1.789910672153951,-86.00993157513439,2.2312190182288845
2014-07-01,-27.82824212014675,-27.82824212014675,-3.9199585145426674,-55.507236370444275,-8.418244736856991,-94.55222561545669,-5.712116571272773
2014-07-08,-25.703503912687303,-25.703503912687303,-2.0603548257073285,-53.531746032834036,-6.792152426006197,-99.18022502101957,-9.741157526007726
2014-07-15,-29.030041265487668,-29.030041265487668,-5.652026697131802,-54.73354517817495,-8.34334959809928,-110.24078154861928,-20.20275560277952
2014-07-22,-22.865960225462914,-22.865960225462914,0.2469198242688435,-51.89600149095057,-5.855203937627067,-105.42774752378463,-14.790763127116946
2014-07-29,-22.475282707065343,-22.475282707065343,0.37246282404230513,-45.34124293252824,0.3501565940430922,-100.07478811070324,-8.838845263214907
2014-08-05,-22.48777957856655,-22.48777957856655,0.09483143391699045,-44.96306228563188,0.3789392141872838,-96.85906377658247,-5.02416247826622
2014-08-12,-23.944853991270065,-23.944853991270065,-1.6273774974106345,-46.4326335698366,-1.440030096769604,-91.77387650236489,0.6599832467792908
2014-08-19,-15.331110975146293,-15.331110975146293,6.721231000085391,-39.27596496641634,5.367240479898484,-84.23902725204826,8.793790947923839
2014-08-26,-22.386221195757386,-22.386221195757386,-0.5990137391498109,-37.71733217090366,6.576475248658994,-84.1499657407403,9.481810910052445
2014-09-02,-21.690461179614065,-21.690461179614065,-0.1683882416305984,-44.07668237537143,-0.13227298256094855,-83.35264734178782,10.878087759832852
2014-09-09,-20.627928568422792,-20.627928568422792,-2.4905014084884876,-42.318389748036836,-3.4485590677824547,-80.03572191894054,3.159956172201788
2014-09-16,-14.156554368138313,-14.156554368138313,1.9850526819180239,-34.78448293656108,-0.014767639641625863,-78.86116531193257,-3.4774047770071803
2014-09-23,-11.423128125816582,-11.423128125816582,2.722658814361786,-25.579682493954873,5.089917419629661,-67.89807224199176,-0.3262292632833095
2014-09-30,-15.814058649539946,-15.814058649539946,-3.6640918192395464,-27.237186775356506,-0.667702245106895,-62.021669711917646,-2.2617442895425555
2014-10-07,-7.024026203155517,-7.024026203155517,3.1301205172378106,-22.83808485269544,-0.36871570578075463,-48.417767346650365,3.5302405195077853
2014-10-14,-9.100450889021158,-9.100450889021158,-0.9421242785057977,-16.124477092176654,2.244776671403109,-43.36166386753321,0.7744264424080001
2014-10-21,-7.102352522313595,-7.102352522313595,-0.9398460216762032,-16.202803411334727,-1.9336650310898875,-39.04088826403022,-2.716715510305953
2014-10-28,-3.9679548763670027,-3.9679548763670027,0.19873151439242065,-11.070307398680574,-0.9012844017124504,-27.19478449085728,1.3174707065336335
2015-03-10,-6.831180932745337,-6.831180932745337,-2.0014078572741703,-8.750685814022994,-1.1429197213845086,-8.750685814023024,-0.9300032335566417
2015-03-17,-7.374154722690582,-7.374154722690582,-1.0525556950538881,-14.205335655435896,-3.5245877834502366,-16.124840536713606,-1.9895722280256507
2015-03-24,-5.2342756107449535,-5.2342756107449535,2.5791493690572675,-12.608430333435512,1.1452993178973205,-21.359116147458558,-0.9092621105490295
